date	right_id	type_of_right	airline_name	icao_airline	iata_airline	country	from_city	to_city	min_freq	max_freq	valid_from	valid_till	annul_date	given_by	given_date	annul_reason	from_encity	to_encity	encountry
12.04.2017	1894	Регулярні міжнародні	МАУ	AUI	PS	Італійська Республіка	Київ	Бергамо	0	14	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017		Kiev	Bergamo	Italy
12.04.2017	1895	Регулярні міжнародні	МАУ	AUI	PS	Грузія	Запоріжжя	Батумі	0	2	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017		Zaporizhia	Batumi	Georgia
12.04.2017	1900	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Республіка Хорватія	Дніпро	Спліт	0	1	12.04.2017			Протокол засідання комісії ДАС № 23 від 28.03.2017	13.04.2017		Dnipro	Split	Croatia
02.03.2017	1829	Регулярні міжнародні	ЯнЕір ЛТД	ANR	YE	Грецька Республіка	Київ	Афіни	0	7	01.04.2017			Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kiev	Athens	Greece
02.03.2017	1858	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Львів	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Lviv	Monastir	Tunisia
02.03.2017	1859	Регулярні міжнародні	Браво	BAY		Республіка Албанія	Київ	Тірана	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kiev	Tirana	Albania
02.03.2017	1857	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Харків	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kharkiv	Monastir	Tunisia
02.03.2017	1862	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Кривий Ріг	Бургас	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kryvyi Rih	Burgas	Bulgaria
02.03.2017	1855	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Київ	Монастір	0	4	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kiev	Monastir	Tunisia
02.03.2017	1856	Регулярні міжнародні	Браво	BAY		Туніська Республіка	Запоріжжя	Монастір	0	3	26.03.2017	29.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Zaporizhia	Monastir	Tunisia
02.03.2017	1860	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Київ	Бургас	0	5	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kiev	Burgas	Bulgaria
02.03.2017	1861	Регулярні міжнародні	Браво	BAY		Республіка Болгарія	Харків	Бургас	0	2	26.03.2017	26.10.2067		Протокол засідання комісії ДАС № 22 від 27.02.2017	03.03.2017		Kharkiv	Burgas	Bulgaria
02.03.2017	1767	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Арабська Республіка Єгипет	Львів	Шарм Ель Шейх	0	1	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017		Lviv	Sharm El-Sheikh	Egypt
02.03.2017	1769	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Туніська Республіка	Київ	Енфіда	0	5	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017		Kiev	Enfidha	Tunisia
02.03.2017	1768	Регулярні міжнародні	Азур Ейр Україна	UTN	QU	Арабська Республіка Єгипет	Харків	Шарм Ель Шейх	0	1	02.03.2017			Протокол засідання комісії ДАС №22 від 27.02.2017	03.03.2017		Kharkiv	Sharm El-Sheikh	Egypt
07.02.2017	1703	Регулярні міжнародні	РОЗА ВІТРІВ	WRC	7W	Італійська Республіка	Львів	Брешія	0	2	07.02.2017			Протокол засідання комісії ДАС № 21 від 31.01.2017	08.02.2017		Lviv	Brescia	Italy
